Phylum,Genus,Sample_ID,Abundance,Group
Outros,Outros,A1,28,TEA
Outros,Outros,A1,25,TEA
Outros,Outros,A1,150,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,20,TEA
Outros,Outros,A1,5,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,5,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,53,TEA
Outros,Outros,A1,162,TEA
Outros,Outros,A1,10,TEA
Outros,Outros,A1,9,TEA
Outros,Outros,A1,8,TEA
Outros,Outros,A1,12,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,137,TEA
Outros,Outros,A1,31,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,12,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,282,TEA
Outros,Outros,A10,2936,TEA
Outros,Outros,A10,32,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,122,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,197,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,15,TEA
Outros,Outros,A10,24,TEA
Outros,Outros,A10,268,TEA
Outros,Outros,A10,62,TEA
Outros,Outros,A10,13,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,24,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,249,TEA
Outros,Outros,A10,13,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,435,TEA
Outros,Outros,A10,155,TEA
Outros,Outros,A10,191,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,15,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,115,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,461,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,4808,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,12,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,31,TEA
Outros,Outros,A10,234,TEA
Outros,Outros,A10,49,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,19,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,30,TEA
Outros,Outros,A10,36,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,24,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,25,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,95,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,20,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,57,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,26,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,26,TEA
Outros,Outros,A10,33,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,7,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,931,TEA
Outros,Outros,A10,2,TEA
